service_id,date,exception_type
7478-exception,20131209,2
7478-exception,20131210,2
7478-exception,20131211,2
7478-exception,20131212,2
7478-exception,20131213,2
7478-exception,20131214,2
7478-exception,20131215,2
7478-exception,20131216,2
7478-exception,20131217,2
7478-exception,20131218,2
7478-exception,20131219,2
7478-exception,20131220,2
7478-exception,20131221,2
7478-exception,20131222,2
7478-exception,20131223,2
7478-exception,20131224,2
7478-exception,20131225,2
7478-exception,20131226,2
7478-exception,20131227,2
7478-exception,20131228,2
7478-exception,20131229,2
7478-exception,20131230,2
7478-exception,20131231,2
7478-exception,20140101,2
7478-exception,20140102,2
7478-exception,20140103,2
8192-exception,20131205,2
8192-exception,20131206,2
8192-exception,20131207,2
8192-exception,20131208,2
8192-exception,20131209,2
8192-exception,20131210,2
8192-exception,20131211,2
8192-exception,20131212,2
8192-exception,20131213,2
8192-exception,20131214,2
8192-exception,20131215,2
8192-exception,20131216,2
8192-exception,20131217,2
8192-exception,20131218,2
8192-exception,20131219,2
8192-exception,20131220,2
8192-exception,20131221,2
8192-exception,20131222,2
8192-exception,20131223,2
8192-exception,20131224,2
8192-exception,20131225,2
8192-exception,20131226,2
8192-exception,20131227,2
8192-exception,20131228,2
8192-exception,20131229,2
8192-exception,20131230,2
8192-exception,20131231,2
8192-exception,20140101,2
8192-exception,20140102,2
8192-exception,20140103,2
2795-exception,20131205,2
2795-exception,20131206,2
2795-exception,20131207,2
2795-exception,20131208,2
2795-exception,20131209,2
2795-exception,20131210,2
2795-exception,20131211,2
2795-exception,20131212,2
2795-exception,20131213,2
2795-exception,20131214,2
2795-exception,20131215,2
2795-exception,20131216,2
2795-exception,20131217,2
2795-exception,20131218,2
2795-exception,20131219,2
2795-exception,20131220,2
2795-exception,20131221,2
2795-exception,20131222,2
2795-exception,20131223,2
2795-exception,20131224,2
2795-exception,20131225,2
2795-exception,20131226,2
2795-exception,20131227,2
2795-exception,20131228,2
2795-exception,20131229,2
2795-exception,20131230,2
2795-exception,20131231,2
2795-exception,20140101,2
2795-exception,20140102,2
2795-exception,20140103,2
7352-exception,20131205,2
7352-exception,20131206,2
7352-exception,20131207,2
7352-exception,20131208,2
7352-exception,20131209,2
7352-exception,20131210,2
7352-exception,20131211,2
7352-exception,20131212,2
7352-exception,20131213,2
7352-exception,20131214,2
7352-exception,20131215,2
7352-exception,20131216,2
7352-exception,20131217,2
7352-exception,20131218,2
7352-exception,20131219,2
7352-exception,20131220,2
7352-exception,20131221,2
7352-exception,20131222,2
7352-exception,20131223,2
7352-exception,20131224,2
7352-exception,20131225,2
7352-exception,20131226,2
7352-exception,20131227,2
